modèle 3 
avec la fenètre ouverte 
t: 48.469420433044434     p: 82
t: 41.78435802459717     p: 49
t: 50.74000573158264     p: 87
t: 48.41218042373657     p: 106
t: 45.38612914085388     p: 22
t: 49.1687285900116     p: 13
t: 62.10528039932251     p: 40
t: 46.30498933792114     p: 34
t: 55.83399701118469     p: 78
t: 37.14737272262573     p: 18
t: 57.98174810409546     p: 56
t: 64.35649681091309     p: 38
t: 49.9800705909729     p: 33
t: 52.07715940475464     p: 18
t: 53.4659059047699     p: 32
t: 57.164870738983154     p: 59
t: 69.03403997421265     p: 18
t: 55.38454866409302     p: 45
t: 42.949124813079834     p: 23
t: 47.22236180305481     p: 33
avec la fenètre fermée 
t: 1.9513764381408691     p: 26
t: 2.18184232711792     p: 26
t: 1.9128897190093994     p: 20
t: 2.199307918548584     p: 88
t: 2.027069091796875     p: 44
t: 1.9543206691741943     p: 56
t: 2.159963369369507     p: 39
t: 2.2251808643341064     p: 55
t: 1.834075927734375     p: 47
t: 2.1107394695281982     p: 43
t: 2.0337002277374268     p: 30
t: 2.021095037460327     p: 49
t: 1.7936732769012451     p: 28
t: 1.7586848735809326     p: 48
t: 2.15144944190979     p: 49
t: 1.9856500625610352     p: 11
t: 1.9191868305206299     p: 36
t: 1.9607839584350586     p: 142
t: 2.1273484230041504     p: 11
t: 2.4060261249542236     p: 29
